stateabbr,population
AK,2859894.0
AL,13702874.0
AR,8247472.0
AZ,26758164.0
CA,155006484.0
CO,19486291.0
CT,8983608.0
DC,2758180.0
DE,1708556.0
FL,66705440.0
GA,21227855.0
HI,5641132.0
IA,10809699.0
ID,5023812.0
IL,48376985.0
IN,18855308.0
KS,9865016.0
LA,12166322.0
MA,20144812.0
MD,21599882.0
ME,2638460.0
MI,23022816.0
MN,19556159.0
MO,17599097.0
MS,6421051.0
MT,3052930.0
NC,25837859.0
ND,2469048.0
NE,6213161.0
NH,2653420.0
NJ,24472052.0
NM,7365867.0
NV,11884936.0
NY,66348994.0
OH,33534890.0
OK,11840292.0
OR,13754185.0
RI,2722108.0
SC,10145062.0
SD,2759032.0
TN,18186976.0
TX,88578396.0
UT,12251864.0
VA,24201481.0
VT,1106004.0
WA,25187709.0
WI,16867036.0
WV,3164385.0
WY,1801688.0
